Scenario,Categories,Cities,Tourism_Types,Precision@k,Preference_Coverage@k,Category_Diversity,Tourism_Type_Diversity
14,"Theater, Mountain, Hot Spring, Theme Park, Palace, Natural Reserve, Aquarium","Aswan, Qena, Sharqia",Natural Attractions,1.0,0.7272727272727273,0.7857142857142858,0.7857142857142857
15,"Aquarium, Palace, Church, Synagogue, Museum, Tomb, Temple, Garden","Suez, Assiut","Religious and Spiritual Attractions, Cultural and Historical Attractions, Natural Attractions",1.0,0.9230769230769231,0.8035714285714286,0.8333333333333333
16,"Historical Site, Natural Reserve, Museum, Beach, Shopping, Island","Marsa Matrouh, Giza, Sohag","Entertainment and Modern Attractions, Natural Attractions",1.0,1.0,0.9285714285714285,0.8571428571428571
17,"Healing Oases & Sand Therapy, Museum, Church, Rehabilitation & Wellness Center, Zoo, Historical Site","Marsa Alam, Alexandria, Beni Suef",Medical Attractions,1.0,0.8,0.9285714285714285,0.7142857142857143
18,"Hot Spring, Museum, Shopping, Natural Reserve, Palace, Water Park, Theme Park","Suez, Red Sea, Sharqia, Beni Suef","Religious and Spiritual Attractions, Cultural and Historical Attractions",1.0,0.9230769230769231,0.7857142857142858,0.7142857142857143
19,"Garden, Theme Park, Palace, Theater, Museum, Tower, Island, Monastery","Beni Suef, Fayoum",Medical Attractions,1.0,0.9090909090909091,0.8214285714285714,0.6071428571428572
20,"Rehabilitation & Wellness Center, Mountain, Museum, Theme Park, Fortress, Garden, Mosque","Dahab, El Gouna, Sinai","Medical Attractions, Religious and Spiritual Attractions, Natural Attractions",1.0,0.8461538461538461,0.7857142857142858,0.7142857142857142
21,"Palace, Theater, Synagogue, Historical Site, Shopping, Tomb, Temple, Library","Giza, Sharqia","Religious and Spiritual Attractions, Entertainment and Modern Attractions, Medical Attractions",1.0,1.0,0.75,0.7142857142857142
22,"Island, Church, Historical Site, Garden, Hot Spring, Temple, Museum, Mountain",Red Sea,Medical Attractions,1.0,1.0,0.7857142857142857,0.6428571428571428
23,"Hot Spring, Beach, Shopping, Mountain, Monastery, Water Park, Fortress","El Gouna, Red Sea, Fayoum","Cultural and Historical Attractions, Entertainment and Modern Attractions",1.0,0.9166666666666666,0.7142857142857144,0.7142857142857143
24,"Natural Reserve, Tomb, Water Park, Mountain, Garden, Zoo, Beach","Sohag, Dahab, Hurghada, Aswan",Natural Attractions,1.0,0.9166666666666666,0.75,0.75
25,"Tomb, Island, Shopping, Beach, Zoo, Church","Hurghada, Beheira, Cairo",Medical Attractions,1.0,0.9,0.9166666666666666,0.5357142857142857
26,"Palace, Cultural Center, Shopping, Monastery, Garden, Aquarium, Synagogue","Alexandria, Minya","Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,0.9090909090909091,0.7142857142857143,0.8571428571428571
27,"Palace, Mosque, Museum, Mountain, Church, Theater, Aquarium, Rehabilitation & Wellness Center","Aswan, Minya, El Gouna, Fayoum","Entertainment and Modern Attractions, Natural Attractions",1.0,0.9285714285714286,0.75,0.6428571428571428
28,"Monastery, Aquarium, Natural Reserve, Tomb, Mosque, Church, Rehabilitation & Wellness Center, Theme Park","Sharm El Sheikh, Fayoum, Marsa Alam","Entertainment and Modern Attractions, Cultural and Historical Attractions",1.0,1.0,0.6964285714285714,0.6428571428571428
29,"Hot Spring, Aquarium, Tomb, Garden, Palace, Fortress, Church",Sharm El Sheikh,"Medical Attractions, Natural Attractions",1.0,1.0,0.8214285714285714,0.75
30,"Theater, Palace, Tomb, Fortress, Zoo, Water Park",Sinai,Natural Attractions,1.0,1.0,0.75,0.75
31,"Mosque, Library, Zoo, Historical Site, Museum, Shopping, Healing Oases & Sand Therapy","North Coast, Assiut, Sohag, Marsa Alam",Medical Attractions,1.0,0.6666666666666666,0.7142857142857143,0.6071428571428572
32,"Church, Synagogue, Hot Spring, Historical Site, Water Park, Aquarium, Fortress, Palace","Qena, Beni Suef","Cultural and Historical Attractions, Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.8461538461538461,0.75,0.9047619047619048
33,"Healing Oases & Sand Therapy, Theme Park, Palace, Garden, Library, Zoo","Giza, Assiut",Cultural and Historical Attractions,1.0,0.8888888888888888,0.8809523809523809,0.6785714285714286
34,"Natural Reserve, Island, Hot Spring, Temple, Tower, Monastery, Rehabilitation & Wellness Center","Giza, Dahab, Sohag, Sinai",Entertainment and Modern Attractions,1.0,0.8333333333333334,0.7857142857142858,0.6071428571428572
35,"Shopping, Tomb, Historical Site, Water Park, Fortress, Theme Park, Natural Reserve, Aquarium","Marsa Matrouh, Beheira","Entertainment and Modern Attractions, Religious and Spiritual Attractions",1.0,0.8333333333333334,0.8035714285714286,0.7142857142857143
36,"Library, Monastery, Aquarium, Zoo, Synagogue, Church, Temple, Palace","New Valley, Sohag, Red Sea, El Gouna","Entertainment and Modern Attractions, Medical Attractions, Cultural and Historical Attractions",1.0,0.7333333333333333,0.75,0.5833333333333333
37,"Tower, Natural Reserve, Palace, Theme Park, Island, Theater, Rehabilitation & Wellness Center","Suez, Qena, Sinai",Religious and Spiritual Attractions,0.9285714285714286,0.9090909090909091,0.7857142857142858,0.6071428571428572
38,"Temple, Museum, Historical Site, Hot Spring, Shopping, Zoo, Tower","Fayoum, Assiut","Medical Attractions, Religious and Spiritual Attractions, Natural Attractions",1.0,0.8333333333333334,0.7142857142857144,0.6071428571428571
39,"Library, Mosque, Historical Site, Healing Oases & Sand Therapy, Hot Spring, Island, Garden","Red Sea, Marsa Matrouh","Religious and Spiritual Attractions, Entertainment and Modern Attractions",1.0,0.9090909090909091,0.7857142857142858,0.75
40,"Cultural Center, Fortress, Museum, Mountain, Tower, Synagogue, Water Park","Sohag, Fayoum, Marsa Alam, Qena","Entertainment and Modern Attractions, Religious and Spiritual Attractions",1.0,0.7692307692307693,0.7857142857142857,0.7857142857142857
41,"Island, Theater, Mountain, Monastery, Library, Shopping, Historical Site, Beach","Beheira, Qena, Sinai","Natural Attractions, Entertainment and Modern Attractions",1.0,0.9230769230769231,0.6964285714285714,0.7142857142857143
42,"Palace, Hot Spring, Synagogue, Island, Historical Site, Temple, Water Park","Sharqia, Sharm El Sheikh","Natural Attractions, Medical Attractions",1.0,1.0,0.7857142857142858,0.6428571428571428
43,"Healing Oases & Sand Therapy, Mosque, Church, Tower, Beach, Hot Spring, Rehabilitation & Wellness Center, Cultural Center",El Gouna,Medical Attractions,1.0,1.0,0.625,0.6428571428571428
44,"Water Park, Natural Reserve, Fortress, Mountain, Island, Healing Oases & Sand Therapy",Hurghada,"Religious and Spiritual Attractions, Medical Attractions",1.0,0.8888888888888888,0.8095238095238095,0.5714285714285714
45,"Museum, Mountain, Zoo, Aquarium, Library, Healing Oases & Sand Therapy","Marsa Matrouh, Alexandria","Religious and Spiritual Attractions, Natural Attractions",1.0,0.9,0.8809523809523809,0.7142857142857143
46,"Natural Reserve, Theater, Cultural Center, Fortress, Aquarium, Museum, Water Park","El Gouna, Beni Suef, Qena, Beheira","Natural Attractions, Medical Attractions, Entertainment and Modern Attractions",1.0,0.8571428571428571,0.7142857142857143,0.7142857142857142
47,"Synagogue, Mountain, Temple, Rehabilitation & Wellness Center, Church, Fortress, Natural Reserve, Water Park","Assiut, Minya","Medical Attractions, Entertainment and Modern Attractions",1.0,0.9166666666666666,0.8035714285714286,0.6428571428571428
48,"Synagogue, Shopping, Museum, Theme Park, Mountain, Monastery, Rehabilitation & Wellness Center",Dahab,Cultural and Historical Attractions,1.0,0.8888888888888888,0.7142857142857144,0.6071428571428572
49,"Island, Tower, Synagogue, Temple, Church, Theme Park","Sharqia, Hurghada","Entertainment and Modern Attractions, Natural Attractions, Religious and Spiritual Attractions",1.0,0.9090909090909091,0.9285714285714285,0.9285714285714285
50,"Water Park, Garden, Historical Site, Monastery, Shopping, Mosque, Church, Tower",Hurghada,Entertainment and Modern Attractions,1.0,1.0,0.7142857142857142,0.8571428571428572
